bumblebee,plant.ackerfield,genus.plant,species.plant,ssp.var.plant,Source,gbifID
Bombus appositus,Astragalus bisulcatus,Astragalus,bisulcatus,,Wright et al 2017,
Bombus appositus,Astragalus laxmannii robustior,Astragalus,laxmannii,robustior,GBIF,1101309010
Bombus appositus,Astragalus laxmannii robustior,Astragalus,laxmannii,robustior,GBIF,1101309034
Bombus appositus,Astragalus bisulcatus,Astragalus,bisulcatus,,GBIF,1101309020
Bombus appositus,Astragalus bisulcatus,Astragalus,bisulcatus,,GBIF,1101309071
Bombus appositus,Astragalus bisulcatus,Astragalus,bisulcatus,,GBIF,1101309001
Bombus appositus,Carduus nutans,Carduus,nutans,,GBIF,1101309265
Bombus appositus,Cirsium arvense,Cirsium,arvense,,GBIF,1252614386
Bombus appositus,Cirsium arvense,Cirsium,arvense,,GBIF,1570728562
Bombus appositus,Cirsium canescens,Cirsium,canescens,,GBIF,1570728564
Bombus appositus,Cirsium canescens,Cirsium,canescens,,GBIF,1570728549
Bombus appositus,Cirsium canescens,Cirsium,canescens,,GBIF,1570728551
Bombus appositus,Cirsium canescens,Cirsium,canescens,,GBIF,1570728537
Bombus appositus,Cirsium canescens,Cirsium,canescens,,GBIF,1570728539
Bombus appositus,Cirsium canescens,Cirsium,canescens,,GBIF,1570728540
Bombus appositus,Cirsium canescens,Cirsium,canescens,,GBIF,1570728544
Bombus appositus,Cirsium canescens,Cirsium,canescens,,GBIF,1570728563
Bombus appositus,Cirsium canescens,Cirsium,canescens,,GBIF,1570728550
Bombus appositus,Cleome serrulata,Cleome,serrulata,,GBIF,1101309229
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309174
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309157
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309175
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309193
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309201
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309196
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309204
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309198
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309180
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309199
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309225
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309208
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309147
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309228
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309184
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309210
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309168
Bombus appositus,Astragalus laxmannii robustior,Astragalus,laxmannii,robustior,Wright et al 2017,
Bombus appositus,Astragalus sp.,Astragalus,sp.,,Wright et al 2017,
Bombus appositus,Barbarea sp.,Barbarea,sp.,,Wright et al 2017,
Bombus appositus,Bromus sp.,Bromus,sp.,,Wright et al 2017,
Bombus appositus,Carduus nutans,Carduus,nutans,,Wright et al 2017,
Bombus appositus,Carduus sp.,Carduus,sp.,,Wright et al 2017,
Bombus appositus,Castilleja sp.,Castilleja,sp.,,Wright et al 2017,
Bombus appositus,Chrysothamnus sp.,Chrysothamnus,sp.,,Wright et al 2017,
Bombus appositus,Cirsium arvense,Cirsium,arvense,,Wright et al 2017,
Bombus appositus,Cirsium canescens,Cirsium,canescens,,Wright et al 2017,
Bombus appositus,Cleome serrulata,Cleome,serrulata,,Wright et al 2017,
Bombus appositus,Potentilla fruticosa,Potentilla,fruticosa,,Wright et al 2017,
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309186
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309230
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309169
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309187
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309213
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309170
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309189
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309171
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309216
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309190
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309217
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309176
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309220
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309177
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309203
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309209
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309227
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309245
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309167
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309185
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309211
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309248
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309188
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309214
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309250
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,GBIF,1101309191
Bombus appositus,Delphinium barbeyi,Delphinium,barbeyi,,Wright et al 2017,
Bombus appositus,Delphinium nuttallianum,Delphinium,nuttallianum,,Wright et al 2017,
Bombus appositus,Delphinium nuttallianum,Delphinium,nuttallianum,,GBIF,1101309061
Bombus appositus,Delphinium ramosum,Delphinium,ramosum,,Wright et al 2017,
Bombus appositus,Delphinium sp.,Delphinium,sp.,,Wright et al 2017,
Bombus appositus,Grindelia squarrosa,Grindelia,squarrosa,,GBIF,1101309313
Bombus appositus,Grindelia squarrosa,Grindelia,squarrosa,,Wright et al 2017,
Bombus appositus,Liatris punctata,Liatris,punctata,,GBIF,1101309146
Bombus appositus,Liatris punctata,Liatris,punctata,,Wright et al 2017,
Bombus appositus,Linaria dalmatica,Linaria,dalmatica,,GBIF,1101309258
Bombus appositus,Linaria dalmatica,Linaria,dalmatica,,Wright et al 2017,
Bombus appositus,Linaria sp.,Linaria,sp.,,Wright et al 2017,
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,657807693
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,1252614387
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,1252614389
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,1252614399
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,1252614390
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,1252614407
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,1252614408
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,1252614402
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,1252614403
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,1252614431
Bombus appositus,Linaria vulgaris,Linaria,vulgaris,,GBIF,1252614423
